variant,deploy_context_mode,ablation,feature_family,question,interpretation_hint,n_trials,bce,early_bce_t0_19,peak_bce_t4_15,late_bce_t20_end,total_count_corr,total_count_mae,delta_bce,delta_early_bce_t0_19,delta_peak_bce_t4_15,delta_late_bce_t20_end,delta_total_count_mae,delta_bce_percent,importance_rank
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,current_pattern_zero,current_pattern,How much does the exact current pattern identity/bit state matter?,Large BCE increase means current pattern information is essential.,8910,0.054519250988960266,0.11788246035575867,0.1528286337852478,0.03339831158518791,0.19574501574823316,86.12071228027344,0.020898133516311646,0.05719584599137306,0.07653694599866867,0.008799009025096893,57.141157150268555,62.15776002481967,1
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,current_pattern_shuffle_batch,current_pattern,Does swapping current patterns break predictions?,Large BCE increase means the model uses pattern-specific response structure.,8910,0.04287303611636162,0.0845109149813652,0.10791810601949692,0.028993789106607437,0.266440612689509,74.75789642333984,0.009251918643712997,0.0238243006169796,0.031626418232917786,0.0043944865465164185,45.77834129333496,27.518177083910427,2
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,history_all_zero,z_history_gru,How much does the learned GRU history state contribute?,Large delta means the z-history GRU is important.,8910,0.040826957672834396,0.07312098890542984,0.09193915873765945,0.030062304809689522,0.7094729203756432,55.510257720947266,0.007205840200185776,0.012434374541044235,0.015647470951080322,0.005463002249598503,26.530702590942383,21.432482742573487,3
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,history_patterns_zero,z_history_gru,Does the GRU mainly need previous pattern tokens?,Large delta means previous pattern sequence matters.,8910,0.03914467245340347,0.07058817893266678,0.08905080705881119,0.028663644567131996,0.7172247867525892,47.03538513183594,0.005523554980754852,0.009901564568281174,0.012759119272232056,0.0040643420070409775,18.055830001831055,16.428826273393092,4
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,history_shuffle_batch,z_history_gru,Does assigning another trial's GRU history hurt?,Large delta means trial-specific history state matters.,8910,0.03801514580845833,0.07001476734876633,0.08874152600765228,0.027348659932613373,0.5948246619855083,54.0439338684082,0.004394028335809708,0.009328152984380722,0.01244983822107315,0.002749357372522354,25.06437873840332,13.069251310234788,5
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,pattern_baseline_only,residual_decoder,How much does the learned residual decoder add beyond the smoothed pattern baseline?,Large BCE increase means the neural residual head is important.,8910,0.03780160844326019,0.07081719487905502,0.08959989994764328,0.026796501129865646,,68.80694580078125,0.004180490970611572,0.010130580514669418,0.013308212161064148,0.0021971985697746277,39.82739067077637,12.434122613599849,6
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,context_shuffle_batch,z_window_context,Does assigning another trial's z-window context hurt?,Large delta means trial-specific context matters.,8910,0.03586230427026749,0.06473404914140701,0.08131317049264908,0.026238391175866127,0.7641044089010938,41.286197662353516,0.002241186797618866,0.004047434777021408,0.005021482706069946,0.0016390886157751083,12.306642532348633,6.666009240894838,7
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,history_continuous_zero,z_history_gru,Does the GRU mainly need previous frequency/timing/validity values?,Large delta means continuous history values matter.,8910,0.03551151975989342,0.06426124274730682,0.08117078989744186,0.02592827007174492,0.8390602245236819,36.24843978881836,0.0018904022872447968,0.003574628382921219,0.004879102110862732,0.0013289675116539001,7.268884658813477,5.622663460792678,8
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,history_timing_zero,z_history_gru,Does recency/timing inside the GRU history matter?,Large delta means the model uses temporal order/age information.,8910,0.035282835364341736,0.06422201544046402,0.08112472295761108,0.02563641034066677,0.822449265171927,35.29391860961914,0.0016617178916931152,0.003535401076078415,0.004833035171031952,0.0010371077805757523,6.314363479614258,4.942482631771393,9
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,electrode_embedding_zero,electrode_features,How much does learned electrode identity contribute beyond coordinates/rate?,Large delta means electrode-specific learned offsets are important.,8910,0.03522288426756859,0.06443239748477936,0.08130734413862228,0.02548649162054062,0.8847243183623931,30.48640251159668,0.0016017667949199677,0.003745783120393753,0.005015656352043152,0.0008871890604496002,1.5068473815917969,4.7641688180740385,10
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,time_embedding_zero,temporal_decoder,How much does the learned time-bin embedding contribute?,Large delta means learned temporal shape matters beyond fixed time features.,8910,0.034567221999168396,0.06375215947628021,0.08068663626909256,0.0248388834297657,0.8873520528420682,30.4285888671875,0.0009461045265197754,0.0030655451118946075,0.004394948482513428,0.00023958086967468262,1.4490337371826172,2.814018681233449,11
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,context_all_zero,z_window_context,How much do non-GRU z-window summary features contribute?,Large delta means handcrafted previous-z summaries are useful.,8910,0.034523434937000275,0.06241612136363983,0.0784911960363388,0.025225898250937462,0.8346199126931497,35.840579986572266,0.000902317464351654,0.0017295069992542267,0.002199508249759674,0.0006265956908464432,6.861024856567383,2.6837818971534944,12
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,context_frequency_zero,z_window_context,Are frequency-derived z-window context fields useful or redundant?,Small delta means frequency context is not adding much beyond other features.,8910,0.03446945920586586,0.06223851069808006,0.07826383411884308,0.02521306835114956,0.8395795639366019,35.35024642944336,0.0008483417332172394,0.001551896333694458,0.0019721463322639465,0.0006137657910585403,6.370691299438477,2.5232407397147956,13
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,history_frequency_zero,z_history_gru,Does previous frequency inside the GRU history matter?,Small delta means previous-frequency information is weak or redundant.,8910,0.03437400236725807,0.06231065094470978,0.07856320589780807,0.025061622262001038,0.8615145814769223,31.75589942932129,0.0007528848946094513,0.001624036580324173,0.002271518111228943,0.0004623197019100189,2.7763442993164062,2.2393214479617956,14
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,coordinates_zero,electrode_features,How much do physical electrode coordinates contribute?,Large delta means spatial coordinate information is useful.,8910,0.0342802070081234,0.06226798892021179,0.07850853353738785,0.024951014667749405,0.8930469936431091,28.99168586730957,0.0006590895354747772,0.0015813745558261871,0.002216845750808716,0.00035171210765838623,0.0121307373046875,1.9603439297071499,15
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,graph_identity_adjacency,electrode_graph,Does neighbor message passing across electrodes matter after training?,Large delta means graph smoothing/neighborhood interaction is useful.,8910,0.03405621275305748,0.061656657606363297,0.07764465361833572,0.024856148287653923,0.8927619108717768,29.936717987060547,0.00043509528040885925,0.0009700432419776917,0.0013529658317565918,0.00025684572756290436,0.9571628570556641,1.294113084619561,16
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,prev_pattern_zero,previous_pattern_context,Does the immediate previous pattern embedding contribute separately from the longer GRU history?,Large delta means the one-step previous pattern signal is useful.,8910,0.03403867781162262,0.06150281801819801,0.0773206353187561,0.0248840544372797,0.8868624952172363,33.92981719970703,0.000417560338973999,0.0008162036538124084,0.0010289475321769714,0.00028475187718868256,4.950262069702148,1.2419585378555362,17
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,frequency_shuffle_batch,frequency,Does mismatching frequency to trial hurt predictions?,Large delta means frequency-specific conditioning is meaningful.,8910,0.03373125195503235,0.06088075041770935,0.0765485167503357,0.024681420996785164,0.8919748836438517,29.41608238220215,0.00011013448238372803,0.00019413605332374573,0.0002568289637565613,8.21184366941452e-05,0.4365272521972656,0.32757531772501136,18
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,frequency_train_mean,frequency,How much direct frequency conditioning is needed at inference?,"Small delta means frequency is weak, redundant, or mostly captured elsewhere.",8910,0.03366582840681076,0.060811374336481094,0.07645236700773239,0.024617280811071396,0.892933666957382,29.321487426757812,4.471093416213989e-05,0.0001247599720954895,0.00016067922115325928,1.7978250980377197e-05,0.3419322967529297,0.13298467607007125,19
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,full_model,reference,Reference validation performance.,Use deltas versus this row.,8910,0.03362111747264862,0.060686614364385605,0.07629168778657913,0.02459930256009102,0.8960027542439346,28.979555130004883,0.0,0.0,0.0,0.0,0.0,0.0,20
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,context_nonfrequency_zero,z_window_context,Are non-frequency z-window fields useful?,Large delta points to order/history/pattern context being important.,8910,0.03359324857592583,0.06068648770451546,0.07629086822271347,0.024562101811170578,0.8962260175355165,28.995609283447266,-2.786889672279358e-05,-1.2665987014770508e-07,-8.195638656616211e-07,-3.7200748920440674e-05,0.016054153442382812,-0.08289104829863381,21
